179140, 750703
 78270, 737081
577860, 689926
628150, 597095
954030, 510314
837880, 811285
410640, 846947
287850, 600161
270030, 494359
559020, 199445
353930, 542989
515920, 497472
648080, 470280
594550, 968799
386690, 907669
 93070, 395385
 93620, 313966
426870,  39662
437000, 139949
789810, 488001
749130, 575522
481030, 286118
670720, 392925
273890, 892877
138430, 562658
 85480, 465869
775340, 220065
862980, 312238
155180, 263662
274070,  74689
333340, 456245
822150, 399803
158880, 612518
815560, 707417
678240, 709341
394470, 679221
631300, 846813
528320, 824193
666940, 845130
298650, 816352
243750, 745443
220500, 654221
338920, 381007
313110, 201386
856380, 564703
549250, 565255
537400, 604425
502110, 435463
498840, 590729
482310, 571034
416930, 765126
418400, 638700
374170, 695851
412370, 570904
301090, 737412
235690, 782470
475940, 439645
268540, 609753
130500, 712663
 81660, 732470
 64520, 711936
264690, 529248
 90230, 612484
 38370, 610277
 15430, 579032
138890, 482432
264580, 421188
 86690, 394738
209190, 347661
425890, 376154
312480, 177450
373360, 142350
442850, 106198
505100, 189757
542610, 224170
566730, 262940
615970, 237922
612120, 303181
634410, 320152
879480, 239867
868760, 286928
807670, 334613
943060, 368070
827280, 387076
896040, 413699
920900, 454842
746380, 440559
734300, 452247
730780, 471211
870570, 549620
607060, 453077
926580, 669624
812660, 614479
701420, 559132
688600, 580646
743800, 669521
819700, 857004
683690, 682649
732680, 857362
685760, 866857
